Date,Close
2025-08-28,1385.9
2025-08-29,1357.2
2025-09-01,1353.9
2025-09-02,1366.5
2025-09-03,1372.6
2025-09-04,1359.3
2025-09-05,1375.0
2025-09-08,1378.5
2025-09-09,1376.2
2025-09-10,1377.0
2025-09-11,1383.3
2025-09-12,1395.0
2025-09-15,1399.3
2025-09-16,1405.3
2025-09-17,1413.8
2025-09-18,1415.0
2025-09-19,1407.4
2025-09-22,1390.6
2025-09-23,1389.8
2025-09-24,1383.0
2025-09-25,1372.4
2025-09-26,1377.6
2025-09-29,1372.8
2025-09-30,1364.0
2025-10-01,1368.7
2025-10-03,1363.4
2025-10-06,1375.0
2025-10-07,1384.8
2025-10-08,1367.4
2025-10-09,1377.8
2025-10-10,1381.7
2025-10-13,1375.0
2025-10-14,1375.9
2025-10-15,1374.3
2025-10-16,1398.3
2025-10-17,1416.8
2025-10-20,1466.8
2025-10-21,1465.2
2025-10-23,1448.4
2025-10-24,1451.6
2025-10-27,1484.1
2025-10-28,1486.9
2025-10-29,1504.2
2025-10-30,1488.5
2025-10-31,1486.4
2025-11-03,1484.7
2025-11-04,1473.1
2025-11-06,1496.1
2025-11-07,1478.0
2025-11-10,1489.3
2025-11-11,1493.4
2025-11-12,1511.5
2025-11-13,1510.9
2025-11-14,1518.9
2025-11-17,1518.3
2025-11-18,1519.4
2025-11-19,1518.9
2025-11-20,1549.1
2025-11-21,1546.6
2025-11-24,1535.9
2025-11-25,1539.7
2025-11-26,1569.9
2025-11-27,1563.4
2025-11-28,1567.5
2025-12-01,1566.1
2025-12-02,1546.3
2025-12-03,1538.8
2025-12-04,1535.6
2025-12-05,1540.6
2025-12-08,1543.0
2025-12-09,1529.4
2025-12-10,1536.9
2025-12-11,1545.0
2025-12-12,1556.5
2025-12-15,1556.2
2025-12-16,1542.3
2025-12-17,1544.4
2025-12-18,1544.4
2025-12-19,1565.1
2025-12-22,1575.4
2025-12-23,1570.7
2025-12-24,1558.2
2025-12-26,1559.2
2025-12-29,1545.6
2025-12-30,1539.8
2025-12-31,1570.4
2026-01-01,1575.6
2026-01-02,1592.3
2026-01-05,1578.1
2026-01-06,1507.6
2026-01-07,1504.2
2026-01-08,1470.6
2026-01-09,1475.3
2026-01-12,1483.2
2026-01-13,1452.8
2026-01-14,1458.8
2026-01-15,1458.8
2026-01-16,1457.9
2026-01-19,1413.6
2026-01-20,1394.0
2026-01-21,1404.6
2026-01-22,1402.5
2026-01-23,1386.1
2026-01-27,1380.5
2026-01-28,1396.7
2026-01-29,1391.0
2026-01-30,1395.4
2026-02-02,1390.4
2026-02-03,1437.1
2026-02-04,1456.8
2026-02-05,1443.4
2026-02-06,1450.8
2026-02-09,1461.6
2026-02-10,1458.5
2026-02-11,1468.7
2026-02-12,1448.9
2026-02-13,1419.6
2026-02-16,1437.1
2026-02-17,1423.0
2026-02-18,1441.3
2026-02-19,1409.5
2026-02-20,1419.4
2026-02-23,1428.0
2026-02-24,1428.8
2026-02-25,1398.5
2026-02-26,1406.8
2026-02-27,1393.9
2026-03-02,1358.0
2026-03-04,1345.0
2026-03-05,1389.4
2026-03-06,1404.8
2026-03-09,1424.0
2026-03-10,1408.8
2026-03-11,1390.2
2026-03-12,1392.2
2026-03-13,1380.7
